country_name,hdi_category,indicator_name,values
Slovenia,HIGH HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,1.00
Cyprus,HIGH HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.96
Portugal,HIGH HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.96
Brunei Darussalam,HIGH HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.95
Barbados,HIGH HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,..
Czech Republic,HIGH HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,..
Kuwait,HIGH HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.96
Malta,HIGH HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,1.03
Qatar,HIGH HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.99
Hungary,HIGH HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,..
Poland,HIGH HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,..
Argentina,HIGH HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,1.00
United Arab Emirates,HIGH HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.99
Chile,HIGH HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,1.00
Bahrain,HIGH HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.94
Slovakia,HIGH HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,..
Lithuania,HIGH HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,1.00
Estonia,HIGH HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,1.00
Latvia,HIGH HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,1.00
Uruguay,HIGH HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,1.01
Croatia,HIGH HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.98
Costa Rica,HIGH HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,1.00
Bahamas,HIGH HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,..
Seychelles,HIGH HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,1.01
Cuba,HIGH HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,1.00
Mexico,HIGH HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.97
Bulgaria,HIGH HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.99
Saint Kitts and Nevis,HIGH HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,..
Tonga,HIGH HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,1.00
Libyan Arab Jamahiriya,HIGH HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.81
Antigua and Barbuda,HIGH HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,..
Oman,HIGH HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.85
Trinidad and Tobago,HIGH HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.99
Romania,HIGH HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.98
Saudi Arabia,HIGH HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.87
Panama,HIGH HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.99
Malaysia,HIGH HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.93
Belarus,HIGH HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,1.00
Mauritius,HIGH HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.91
Bosnia and Herzegovina,HIGH HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.95
Russian Federation,HIGH HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,1.00
Albania,HIGH HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.99
Macedonia (TFYR),HIGH HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.96
Brazil,HIGH HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,1.00
Dominica,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,..
Saint Lucia,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,..
Kazakhstan,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,1.00
Venezuela (Bolivarian Republic of),MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.99
Colombia,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,1.00
Ukraine,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.99
Samoa,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.99
Thailand,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.95
Dominican Republic,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,1.00
Belize,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,..
China,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.91
Grenada,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,..
Armenia,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.99
Turkey,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.84
Suriname,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.95
Jordan,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.91
Peru,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.88
Lebanon,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,..
Ecuador,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.97
Philippines,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,1.02
Tunisia,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.78
Fiji,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,..
Saint Vincent and the Grenadines,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,..
Iran (Islamic Republic of),MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.87
Paraguay,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.98
Georgia,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,..
Guyana,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,..
Azerbaijan,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.99
Sri Lanka,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.97
Maldives,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,1.00
Jamaica,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,1.16
Cape Verde,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.86
El Salvador,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.96
Algeria,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.76
Viet Nam,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.93
Occupied Palestinian Territories,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.91
Indonesia,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.92
Syrian Arab Republic,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.84
Turkmenistan,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.99
Nicaragua,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,1.00
Moldova,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.99
Egypt,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.71
Uzbekistan,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,..
Mongolia,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,1.00
Honduras,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,1.01
Kyrgyzstan,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.99
Bolivia,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.87
Guatemala,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.84
Gabon,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.90
Vanuatu,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,..
South Africa,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.96
Tajikistan,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,1.00
Sao Tome and Principe,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.85
Botswana,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,1.02
Namibia,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.96
Morocco,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.60
Equatorial Guinea,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.86
India,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.65
Solomon Islands,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,..
Lao People's Democratic Republic,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.79
Cambodia,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.76
Myanmar,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.92
Bhutan,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,..
Comoros,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,..
Ghana,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.75
Pakistan,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.55
Mauritania,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.73
Lesotho,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,1.23
Congo,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.87
Bangladesh,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.76
Swaziland,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.97
Nepal,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.56
Madagascar,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.85
Cameroon,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.78
Papua New Guinea,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.80
Haiti,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,..
Sudan,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.73
Kenya,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.90
Djibouti,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,..
Timor-Leste,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,..
Zimbabwe,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.93
Togo,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.56
Yemen,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.47
Uganda,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.75
Gambia,MEDIUM HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,..
Senegal,LOW HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.57
Eritrea,LOW HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,..
Nigeria,LOW HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.77
Tanzania (United Republic of),LOW HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.80
Guinea,LOW HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.43
Rwanda,LOW HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.84
Angola,LOW HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.65
Benin,LOW HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.49
Malawi,LOW HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.72
Zambia,,Ad_lit_rat_femrate_malrate,0.78
Côte d'Ivoire,,Ad_lit_rat_femrate_malrate,0.63
Burundi,,Ad_lit_rat_femrate_malrate,0.78
Congo (Democratic Republic of the),,Ad_lit_rat_femrate_malrate,0.67
Ethiopia,,Ad_lit_rat_femrate_malrate,0.46
Chad,,Ad_lit_rat_femrate_malrate,0.31
Central African Republic,,Ad_lit_rat_femrate_malrate,0.52
Mozambique,,Ad_lit_rat_femrate_malrate,0.46
Mali,,Ad_lit_rat_femrate_malrate,0.49
Niger,,Ad_lit_rat_femrate_malrate,0.35
Guinea-Bissau,,Ad_lit_rat_femrate_malrate,..
Burkina Faso,,Ad_lit_rat_femrate_malrate,0.53
Sierra Leone,,Ad_lit_rat_femrate_malrate,0.52
Iceland,HIGH HUMAN DEVELOPMENT,Yout_lit_Fem_rate,..
Norway,HIGH HUMAN DEVELOPMENT,Yout_lit_Fem_rate,..
Australia,HIGH HUMAN DEVELOPMENT,Yout_lit_Fem_rate,..
Canada,HIGH HUMAN DEVELOPMENT,Yout_lit_Fem_rate,..
Ireland,HIGH HUMAN DEVELOPMENT,Yout_lit_Fem_rate,..
Sweden,HIGH HUMAN DEVELOPMENT,Yout_lit_Fem_rate,..
Switzerland,HIGH HUMAN DEVELOPMENT,Yout_lit_Fem_rate,..
Japan,HIGH HUMAN DEVELOPMENT,Yout_lit_Fem_rate,..
Netherlands,HIGH HUMAN DEVELOPMENT,Yout_lit_Fem_rate,..
France,HIGH HUMAN DEVELOPMENT,Yout_lit_Fem_rate,..
Finland,HIGH HUMAN DEVELOPMENT,Yout_lit_Fem_rate,..
United States,HIGH HUMAN DEVELOPMENT,Yout_lit_Fem_rate,..
Spain,HIGH HUMAN DEVELOPMENT,Yout_lit_Fem_rate,..
Denmark,HIGH HUMAN DEVELOPMENT,Yout_lit_Fem_rate,..
Austria,HIGH HUMAN DEVELOPMENT,Yout_lit_Fem_rate,..
United Kingdom,HIGH HUMAN DEVELOPMENT,Yout_lit_Fem_rate,..
Belgium,HIGH HUMAN DEVELOPMENT,Yout_lit_Fem_rate,..
Luxembourg,HIGH HUMAN DEVELOPMENT,Yout_lit_Fem_rate,..
New Zealand,HIGH HUMAN DEVELOPMENT,Yout_lit_Fem_rate,..
Italy,HIGH HUMAN DEVELOPMENT,Yout_lit_Fem_rate,99.8
"Hong Kong, China (SAR)",HIGH HUMAN DEVELOPMENT,Yout_lit_Fem_rate,..
Germany,HIGH HUMAN DEVELOPMENT,Yout_lit_Fem_rate,..
Israel,HIGH HUMAN DEVELOPMENT,Yout_lit_Fem_rate,..
Greece,HIGH HUMAN DEVELOPMENT,Yout_lit_Fem_rate,99.0
Singapore,HIGH HUMAN DEVELOPMENT,Yout_lit_Fem_rate,99.6
Korea (Republic of),HIGH HUMAN DEVELOPMENT,Yout_lit_Fem_rate,..
Slovenia,HIGH HUMAN DEVELOPMENT,Yout_lit_Fem_rate,99.9
Cyprus,HIGH HUMAN DEVELOPMENT,Yout_lit_Fem_rate,99.8
Portugal,HIGH HUMAN DEVELOPMENT,Yout_lit_Fem_rate,99.6
Brunei Darussalam,HIGH HUMAN DEVELOPMENT,Yout_lit_Fem_rate,98.9
Barbados,HIGH HUMAN DEVELOPMENT,Yout_lit_Fem_rate,..
Czech Republic,HIGH HUMAN DEVELOPMENT,Yout_lit_Fem_rate,..
Kuwait,HIGH HUMAN DEVELOPMENT,Yout_lit_Fem_rate,99.8
Malta,HIGH HUMAN DEVELOPMENT,Yout_lit_Fem_rate,97.8
Qatar,HIGH HUMAN DEVELOPMENT,Yout_lit_Fem_rate,97.5
Hungary,HIGH HUMAN DEVELOPMENT,Yout_lit_Fem_rate,..
Poland,HIGH HUMAN DEVELOPMENT,Yout_lit_Fem_rate,..
Argentina,HIGH HUMAN DEVELOPMENT,Yout_lit_Fem_rate,99.1
United Arab Emirates,HIGH HUMAN DEVELOPMENT,Yout_lit_Fem_rate,95.5
Chile,HIGH HUMAN DEVELOPMENT,Yout_lit_Fem_rate,99.2
Bahrain,HIGH HUMAN DEVELOPMENT,Yout_lit_Fem_rate,97.3
Slovakia,HIGH HUMAN DEVELOPMENT,Yout_lit_Fem_rate,..
Lithuania,HIGH HUMAN DEVELOPMENT,Yout_lit_Fem_rate,99.7
Estonia,HIGH HUMAN DEVELOPMENT,Yout_lit_Fem_rate,99.8
Latvia,HIGH HUMAN DEVELOPMENT,Yout_lit_Fem_rate,99.8
Uruguay,HIGH HUMAN DEVELOPMENT,Yout_lit_Fem_rate,99.0
Croatia,HIGH HUMAN DEVELOPMENT,Yout_lit_Fem_rate,99.7
Costa Rica,HIGH HUMAN DEVELOPMENT,Yout_lit_Fem_rate,98.0
Bahamas,HIGH HUMAN DEVELOPMENT,Yout_lit_Fem_rate,..
Seychelles,HIGH HUMAN DEVELOPMENT,Yout_lit_Fem_rate,99.4
Cuba,HIGH HUMAN DEVELOPMENT,Yout_lit_Fem_rate,100.0
Mexico,HIGH HUMAN DEVELOPMENT,Yout_lit_Fem_rate,97.6
Bulgaria,HIGH HUMAN DEVELOPMENT,Yout_lit_Fem_rate,98.1
Saint Kitts and Nevis,HIGH HUMAN DEVELOPMENT,Yout_lit_Fem_rate,..
Tonga,HIGH HUMAN DEVELOPMENT,Yout_lit_Fem_rate,99.4
Libyan Arab Jamahiriya,HIGH HUMAN DEVELOPMENT,Yout_lit_Fem_rate,96.5
Antigua and Barbuda,HIGH HUMAN DEVELOPMENT,Yout_lit_Fem_rate,..
Oman,HIGH HUMAN DEVELOPMENT,Yout_lit_Fem_rate,96.7
Trinidad and Tobago,HIGH HUMAN DEVELOPMENT,Yout_lit_Fem_rate,99.5
Romania,HIGH HUMAN DEVELOPMENT,Yout_lit_Fem_rate,97.8
Saudi Arabia,HIGH HUMAN DEVELOPMENT,Yout_lit_Fem_rate,94.7
Panama,HIGH HUMAN DEVELOPMENT,Yout_lit_Fem_rate,95.6
Malaysia,HIGH HUMAN DEVELOPMENT,Yout_lit_Fem_rate,97.3
Belarus,HIGH HUMAN DEVELOPMENT,Yout_lit_Fem_rate,99.8
Mauritius,HIGH HUMAN DEVELOPMENT,Yout_lit_Fem_rate,95.4
Bosnia and Herzegovina,HIGH HUMAN DEVELOPMENT,Yout_lit_Fem_rate,99.8
Russian Federation,HIGH HUMAN DEVELOPMENT,Yout_lit_Fem_rate,99.8
Albania,HIGH HUMAN DEVELOPMENT,Yout_lit_Fem_rate,99.5
Macedonia (TFYR),HIGH HUMAN DEVELOPMENT,Yout_lit_Fem_rate,98.5
Brazil,HIGH HUMAN DEVELOPMENT,Yout_lit_Fem_rate,97.9
Dominica,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,..
Saint Lucia,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,..
Kazakhstan,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,99.9
Venezuela (Bolivarian Republic of),MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,98.1
Colombia,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,98.4
Ukraine,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,99.8
Samoa,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,99.4
Thailand,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,97.8
Dominican Republic,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,95.4
Belize,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,..
China,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,98.5
Grenada,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,..
Armenia,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,99.9
Turkey,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,93.3
Suriname,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,94.1
Jordan,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,99.0
Peru,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,96.3
Lebanon,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,..
Ecuador,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,96.5
Philippines,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,96.6
Tunisia,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,92.2
Fiji,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,..
Saint Vincent and the Grenadines,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,..
Iran (Islamic Republic of),MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,96.7
Paraguay,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,96.1
Georgia,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,..
Guyana,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,..
Azerbaijan,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,99.9
Sri Lanka,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,96.1
Maldives,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,98.3
Jamaica,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,..
Cape Verde,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,96.7
El Salvador,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,90.3
Algeria,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,86.1
Viet Nam,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,93.6
Occupied Palestinian Territories,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,98.8
Indonesia,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,98.5
Syrian Arab Republic,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,90.2
Turkmenistan,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,99.8
Nicaragua,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,88.8
Moldova,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,99.7
Egypt,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,78.9
Uzbekistan,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,..
Mongolia,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,98.4
Honduras,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,90.9
Kyrgyzstan,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,99.7
Bolivia,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,96.1
Guatemala,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,78.4
Gabon,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,95.1
Vanuatu,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,..
South Africa,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,94.3
Tajikistan,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,99.8
Sao Tome and Principe,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,94.9
Botswana,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,95.6
Namibia,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,93.5
Morocco,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,60.5
Equatorial Guinea,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,94.9
India,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,67.7
Solomon Islands,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,..
Lao People's Democratic Republic,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,74.7
Cambodia,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,78.9
Myanmar,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,93.4
Bhutan,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,..
Comoros,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,..
Ghana,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,65.5
Pakistan,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,53.1
Mauritania,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,55.5
Lesotho,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,..
Congo,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,96.5
Bangladesh,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,60.3
Swaziland,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,89.8
Nepal,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,60.1
Madagascar,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,68.2
Cameroon,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,..
Papua New Guinea,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,64.1
Haiti,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,..
Sudan,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,71.4
Kenya,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,80.7
Djibouti,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,..
Timor-Leste,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,..
Zimbabwe,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,97.9
Togo,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,63.6
Yemen,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,58.9
Uganda,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,71.2
Gambia,MEDIUM HUMAN DEVELOPMENT,Yout_lit_Fem_rate,..
Senegal,LOW HUMAN DEVELOPMENT,Yout_lit_Fem_rate,41.0
Eritrea,LOW HUMAN DEVELOPMENT,Yout_lit_Fem_rate,..
Nigeria,LOW HUMAN DEVELOPMENT,Yout_lit_Fem_rate,81.3
